Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DDT_Amazon_Categoryvalidation_testsuite,Chrome 120.0.0.0,,,21-01-2024 19:09:52,21-01-2024 19:14:10,4m - 17.563s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_Validation Amazon Category_Excel_001,Chrome 120.0.0.0,,,21-01-2024 19:09:52,21-01-2024 19:10:38,45.999s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-01-2024 19:09:53,21-01-2024 19:09:55,2.499s,PASSED
"navigateToUrl(""http://www.amazon.com"")",Chrome 120.0.0.0,,,21-01-2024 19:09:55,21-01-2024 19:09:58,2.392s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/CategoryElement""), category, false)",Chrome 120.0.0.0,,,21-01-2024 19:09:58,21-01-2024 19:10:12,14.175s,PASSED
"setText(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), item)",Chrome 120.0.0.0,,,21-01-2024 19:10:12,21-01-2024 19:10:14,2.116s,PASSED
"click(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 120.0.0.0,,,21-01-2024 19:10:14,21-01-2024 19:10:38,24.081s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,21-01-2024 19:10:38,21-01-2024 19:10:38,0.310s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_Validation Amazon Category_Excel_001,Chrome 120.0.0.0,,,21-01-2024 19:10:39,21-01-2024 19:11:27,48.367s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-01-2024 19:10:39,21-01-2024 19:10:39,0.927s,PASSED
"navigateToUrl(""http://www.amazon.com"")",Chrome 120.0.0.0,,,21-01-2024 19:10:39,21-01-2024 19:10:42,2.877s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/CategoryElement""), category, false)",Chrome 120.0.0.0,,,21-01-2024 19:10:42,21-01-2024 19:11:16,33.820s,PASSED
"setText(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), item)",Chrome 120.0.0.0,,,21-01-2024 19:11:16,21-01-2024 19:11:18,2.134s,PASSED
