Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), ""Da vinci code"")",Chrome 120.0.0.0,,,21-01-2024 15:54:22,21-01-2024 15:54:23,1.353s,PASSED
"click(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 120.0.0.0,,,21-01-2024 15:54:23,21-01-2024 15:54:30,7.231s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,21-01-2024 15:54:30,21-01-2024 15:54:31,0.228s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_Validation Amazon Category_Excel_001,Chrome 120.0.0.0,,,21-01-2024 15:54:31,21-01-2024 15:54:59,28.169s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-01-2024 15:54:31,21-01-2024 15:54:31,0.651s,PASSED
"navigateToUrl(""http://www.amazon.com"")",Chrome 120.0.0.0,,,21-01-2024 15:54:31,21-01-2024 15:54:32,1.197s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/CategoryElement""), ""Books"", false)",Chrome 120.0.0.0,,,21-01-2024 15:54:32,21-01-2024 15:54:45,12.493s,PASSED
"setText(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), ""Da vinci code"")",Chrome 120.0.0.0,,,21-01-2024 15:54:45,21-01-2024 15:54:48,2.758s,PASSED
"click(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 120.0.0.0,,,21-01-2024 15:54:48,21-01-2024 15:54:59,10.832s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,21-01-2024 15:54:59,21-01-2024 15:54:59,0.222s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_Validation Amazon Category_Excel_001,Chrome 120.0.0.0,,,21-01-2024 15:54:59,21-01-2024 15:55:23,24.566s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-01-2024 15:54:59,21-01-2024 15:54:59,0.659s,PASSED
"navigateToUrl(""http://www.amazon.com"")",Chrome 120.0.0.0,,,21-01-2024 15:54:59,21-01-2024 15:55:01,1.259s,PASSED
